Cultivo,Agua por planta (ml),Duracion de cosecha,Densidad por hectarea,horas de riego,Recomendacion
Aguacate,1600,240,130,6,goteo
Ajo,900,150,90000,4,goteo
Alfalfa,600,160,400000,5,aspersion
Avena Grano,800,120,300,5,aspersion
Calabacita,800,90,30000,6,goteo
Cebada Grano,700,120,350,4,aspersion
Chile Verde,900,120,35000,3,goteo
Durazno,650,150,350,5,goteo
Elote,900,90,32000,6,goteo
Frijol,600,120,31000,5,goteo
Limon,1000,180,133,2,goteo
Maiz Forraje,1200,150,98000,5,aspersion
Manzana,1100,240,170,5,goteo
Naranja,800,240,190,4,goteo
Nopalitos,7000,120,25000,6,aspersion
Nuez,1000,240,90,5,goteo
Papa,1000,120,80000,6,goteo
Sandia,800,90,15000,3,goteo
Sorgo Forrajero,900,120,78000,5,aspersion
Sorgo Grano,800,120,76000,5,aspersion
Tomate Rojo,1000,130,55000,5,goteo
Tomate Verde,1100,110,59000,4,goteo
Toronja,800,230,170,5,goteo
Trigo, Grano,750,155,230,5,aspersion
Uva,950,145,3000,5,goteo
Zanahoria,850,99,100000,4,aspersion
